scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9991751,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991751,Ansys Scholarship,Society of Hispanic Professional Engineers,To support students pursing undergraduate and graduate degrees in engineering or computer science.,Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",
9991747,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991747,Helen Cuesta Scholarship,Society of Hispanic Professional Engineers,To support a female student pursuing a STEM degree.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
9991750,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991750,Arup Scholarship,Society of Hispanic Professional Engineers,To support undergraduate and graduate students pursuing engineering degrees.,Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
9999300,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999300,Donald F. & Mildred Topp Othmer Scholarship Awards,American Institute of Chemical Engineers,To provide financial assistance for AIChE national student members for their undergraduate education in chemical engineering.,Bachelor's Degree,Scholarship,"$1,000",June
9991739,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991739,SPHE Undergraduate Scholarship,Society of Hispanic Professional Engineers,To support undergraduate students pursuing STEM degrees.,Bachelor's Degree,Scholarship,"$2,000",
9991743,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991743,SHPE Pride Scholarship,Society of Hispanic Professional Engineers,To support undergraduate and graduate LGBTQ+ students pursuing STEM degrees.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
9991745,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991745,Medtronic Foundation Scholarship,Society of Hispanic Professional Engineers,To support students pursuing undergraduate engineering degrees.,Bachelor's Degree,Scholarship,"$25,000",
9991746,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991746,GE Scholarship,Society of Hispanic Professional Engineers,To support undergraduate students pursuing STEM degrees.,Bachelor's Degree,Scholarship,"$10,000",
9993802,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993802,Maurizio A. Gianturco Scholarship,National Italian American Foundation,"To support an outstanding Italian American student studying abroad in Italy and majoring in fine arts, liberal arts, language, or architecture.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,March
9997407,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997407,D&A Florida Scholarships,Collaboratory,To fund a student who will attend,Bachelor's Degree,Scholarship,"$10,000",March
